"sale_date","total_orders","total_revenue"
"2024-08-05","19","49898.61"
"2024-08-06","14","30326.56"
"2024-08-07","21","48627.12"
"2024-08-08","14","38120.85"
"2024-08-09","17","42767.67"
"2024-08-10","21","48469.91"
"2024-08-11","13","34089.61"
"2024-08-12","13","32603.57"
"2024-08-13","21","46176.82"
"2024-08-14","16","32623.47"
"2024-08-15","13","37073.32"
"2024-08-16","16","44031.99"
"2024-08-17","17","40238.48"
"2024-08-18","11","33731.88"
"2024-08-19","13","33328.98"
"2024-08-20","12","31876.57"
"2024-08-21","20","50081.05"
"2024-08-22","17","42589.77"
"2024-08-23","12","22638.25"
"2024-08-24","16","30690.07"
"2024-08-25","16","45199.78"
"2024-08-26","16","45016.35"
"2024-08-27","17","43016.28"
"2024-08-28","16","45335.94"
"2024-08-29","4","8078.93"
"2024-08-30","13","30318.85"
"2024-08-31","17","41973.28"
"2024-09-01","12","24817.69"
"2024-09-02","11","20293.44"
"2024-09-03","14","30996.16"
"2024-09-04","16","51848.00"
"2024-09-05","17","37807.06"
"2024-09-06","11","20674.43"
"2024-09-07","11","28289.07"
"2024-09-08","14","31000.77"
"2024-09-09","12","30683.17"
"2024-09-10","18","36256.11"
"2024-09-11","15","35660.33"
"2024-09-12","15","28304.78"
"2024-09-13","13","30868.20"
"2024-09-14","15","31453.31"
"2024-09-15","11","29891.52"
"2024-09-16","12","26282.13"
"2024-09-17","16","31338.46"
"2024-09-18","15","36100.07"
"2024-09-19","12","30928.63"
"2024-09-20","22","53087.27"
"2024-09-21","12","33449.40"
"2024-09-22","11","23754.67"
"2024-09-23","17","43196.21"
"2024-09-24","17","45871.25"
"2024-09-25","9","19528.19"
"2024-09-26","13","26194.51"
"2024-09-27","14","41989.88"
"2024-09-28","13","25494.06"
"2024-09-29","9","21170.73"
"2024-09-30","14","22951.32"
"2024-10-01","17","40933.19"
"2024-10-02","11","28156.56"
"2024-10-03","11","19575.55"
"2024-10-04","12","25397.77"
"2024-10-05","16","49687.04"
"2024-10-06","10","33054.74"
"2024-10-07","14","35726.74"
"2024-10-08","24","53620.44"
"2024-10-09","17","42739.09"
"2024-10-10","20","42780.45"
"2024-10-11","22","49613.67"
"2024-10-12","8","17046.40"
"2024-10-13","14","37247.35"
"2024-10-14","10","28011.00"
"2024-10-15","11","17181.48"
"2024-10-16","18","42057.08"
"2024-10-17","18","38914.13"
"2024-10-18","14","34376.11"
"2024-10-19","24","64038.87"
"2024-10-20","9","28416.83"
"2024-10-21","13","26906.51"
"2024-10-22","11","21280.99"
"2024-10-23","10","32727.75"
"2024-10-24","13","27843.68"
"2024-10-25","12","29999.91"
"2024-10-26","15","35461.86"
"2024-10-27","11","23620.22"
"2024-10-28","16","32368.70"
"2024-10-29","14","38572.36"
"2024-10-30","12","21885.43"
"2024-10-31","16","31890.32"
"2024-11-01","12","32227.05"
"2024-11-02","17","38367.11"
"2024-11-03","11","21225.96"
"2024-11-04","17","46708.33"
"2024-11-05","19","45273.61"
"2024-11-06","18","46931.75"
"2024-11-07","12","23460.22"
"2024-11-08","15","35269.52"
"2024-11-09","16","34540.80"
"2024-11-10","18","51031.97"
"2024-11-11","18","52893.34"
"2024-11-12","11","22966.52"
"2024-11-13","16","40027.39"
"2024-11-14","14","26394.14"
"2024-11-15","16","37910.41"
"2024-11-16","18","35404.59"
"2024-11-17","11","32527.21"
"2024-11-18","19","46073.45"
"2024-11-19","17","42675.41"
"2024-11-20","15","41386.34"
"2024-11-21","10","16149.82"
"2024-11-22","8","19779.33"
"2024-11-23","17","46515.89"
"2024-11-24","9","27412.80"
"2024-11-25","12","19869.22"
"2024-11-26","18","39526.78"
"2024-11-27","15","31081.75"
"2024-11-28","14","30229.94"
"2024-11-29","6","9990.35"
"2024-11-30","17","31898.61"
"2024-12-01","13","29388.18"
"2024-12-02","6","12372.71"
"2024-12-03","12","44108.48"
"2024-12-04","13","22275.29"
"2024-12-05","12","29840.22"
"2024-12-06","22","54466.21"
"2024-12-07","11","26424.46"
"2024-12-08","11","25612.32"
"2024-12-09","17","52943.21"
"2024-12-10","12","29142.84"
"2024-12-11","14","42062.94"
"2024-12-12","14","38796.12"
"2024-12-13","11","31739.20"
"2024-12-14","12","38386.01"
"2024-12-15","13","27704.73"
"2024-12-16","13","23780.27"
"2024-12-17","15","37597.13"
"2024-12-18","16","41358.99"
"2024-12-19","19","37699.11"
"2024-12-20","14","41553.18"
"2024-12-21","6","20111.25"
"2024-12-22","11","28863.97"
"2024-12-23","17","51511.66"
"2024-12-24","16","39340.78"
"2024-12-25","16","40011.33"
"2024-12-26","8","22390.10"
"2024-12-27","15","29038.02"
"2024-12-28","19","44863.83"
"2024-12-29","16","32180.29"
"2024-12-30","21","60174.10"
"2024-12-31","12","26305.96"
"2025-01-01","14","42537.55"
"2025-01-02","8","14716.93"
"2025-01-03","15","32363.64"
"2025-01-04","13","33229.28"
"2025-01-05","16","41845.72"
"2025-01-06","14","39198.14"
"2025-01-07","13","33139.15"
"2025-01-08","15","26593.48"
"2025-01-09","11","26884.66"
"2025-01-10","18","54570.18"
"2025-01-11","16","47481.68"
"2025-01-12","12","30743.67"
"2025-01-13","15","42360.66"
"2025-01-14","14","37077.46"
"2025-01-15","7","23316.49"
"2025-01-16","12","37725.64"
"2025-01-17","13","33685.65"
"2025-01-18","26","62015.65"
"2025-01-19","9","22264.01"
"2025-01-20","11","21662.49"
"2025-01-21","13","31097.80"
"2025-01-22","13","37135.11"
"2025-01-23","17","34182.22"
"2025-01-24","14","41036.02"
"2025-01-25","13","37980.96"
"2025-01-26","10","26799.14"
"2025-01-27","17","45976.67"
"2025-01-28","10","22716.52"
"2025-01-29","16","27339.57"
"2025-01-30","17","43352.94"
"2025-01-31","23","41425.74"
"2025-02-01","12","43494.45"
"2025-02-02","13","44946.61"
"2025-02-03","14","48147.66"
"2025-02-04","17","43806.57"
"2025-02-05","18","50063.49"
"2025-02-06","11","24672.81"
"2025-02-07","23","46235.91"
"2025-02-08","12","44671.64"
"2025-02-09","19","43738.38"
"2025-02-10","18","46987.85"
"2025-02-11","10","25968.15"
"2025-02-12","22","50115.22"
"2025-02-13","16","36737.86"
"2025-02-14","14","27626.78"
"2025-02-15","11","26200.35"
"2025-02-16","10","28200.86"
"2025-02-17","18","38056.33"
"2025-02-18","16","36555.15"
"2025-02-19","18","40175.68"
"2025-02-20","16","36877.57"
"2025-02-21","11","21728.34"
"2025-02-22","19","38212.93"
"2025-02-23","10","24541.92"
"2025-02-24","11","28979.11"
"2025-02-25","14","26820.73"
"2025-02-26","19","42045.85"
"2025-02-27","14","29367.05"
"2025-02-28","12","32160.11"
"2025-03-01","12","29818.25"
"2025-03-02","10","26070.25"
"2025-03-03","15","30157.41"
"2025-03-04","20","53832.68"
"2025-03-05","14","29209.64"
"2025-03-06","22","44407.78"
"2025-03-07","15","35961.62"
"2025-03-08","16","29839.81"
"2025-03-09","19","36745.69"
"2025-03-10","12","25289.24"
"2025-03-11","24","54999.04"
"2025-03-12","13","33404.55"
"2025-03-13","16","36220.29"
"2025-03-14","13","34280.28"
"2025-03-15","20","56989.32"
"2025-03-16","16","35103.47"
"2025-03-17","17","48171.44"
"2025-03-18","17","36217.22"
"2025-03-19","12","24589.34"
"2025-03-20","13","24369.35"
"2025-03-21","19","47520.23"
"2025-03-22","6","16175.07"
"2025-03-23","12","30452.71"
"2025-03-24","12","34193.33"
"2025-03-25","10","29650.10"
"2025-03-26","17","47060.32"
"2025-03-27","9","22574.68"
"2025-03-28","13","24531.75"
"2025-03-29","14","32150.59"
"2025-03-30","14","43951.48"
"2025-03-31","11","30814.09"
"2025-04-01","16","46167.99"
"2025-04-02","17","32954.12"
"2025-04-03","15","40984.88"
"2025-04-04","17","45596.60"
"2025-04-05","12","21408.22"
"2025-04-06","10","31597.47"
"2025-04-07","17","35062.78"
"2025-04-08","13","27015.02"
"2025-04-09","15","44987.37"
"2025-04-10","10","28276.56"
"2025-04-11","20","39546.70"
"2025-04-12","17","35970.70"
"2025-04-13","18","42955.63"
"2025-04-14","13","28982.00"
"2025-04-15","11","24110.01"
"2025-04-16","11","23530.29"
"2025-04-17","19","44158.50"
"2025-04-18","20","43575.66"
"2025-04-19","15","35810.85"
"2025-04-20","12","26743.93"
"2025-04-21","13","46108.97"
"2025-04-22","12","34813.24"
"2025-04-23","20","49231.22"
"2025-04-24","9","29123.30"
"2025-04-25","12","27318.28"
"2025-04-26","13","32901.46"
"2025-04-27","12","25825.29"
"2025-04-28","22","62892.18"
"2025-04-29","15","36148.31"
"2025-04-30","14","30959.81"
"2025-05-01","12","30649.84"
"2025-05-02","19","48153.95"
"2025-05-03","16","41922.04"
"2025-05-04","8","17017.25"
"2025-05-05","13","28672.88"
"2025-05-06","12","26351.27"
"2025-05-07","18","36395.81"
"2025-05-08","20","47664.55"
"2025-05-09","17","34739.69"
"2025-05-10","11","26820.55"
"2025-05-11","14","30204.17"
"2025-05-12","13","23138.81"
"2025-05-13","19","47726.04"
"2025-05-14","12","27122.37"
"2025-05-15","14","38850.89"
"2025-05-16","15","38689.15"
"2025-05-17","15","28770.59"
"2025-05-18","18","42228.19"
"2025-05-19","13","39370.24"
"2025-05-20","7","8864.66"
"2025-05-21","15","27694.16"
"2025-05-22","17","44453.30"
"2025-05-23","18","47779.76"
"2025-05-24","13","24212.17"
"2025-05-25","15","33422.85"
"2025-05-26","17","37280.63"
"2025-05-27","19","46224.76"
"2025-05-28","19","33045.91"
"2025-05-29","16","48257.43"
"2025-05-30","10","27838.02"
"2025-05-31","15","28641.70"
"2025-06-01","13","36933.40"
"2025-06-02","14","34923.43"
"2025-06-03","13","40270.72"
"2025-06-04","10","20521.56"
"2025-06-05","17","36203.06"
"2025-06-06","12","28410.27"
"2025-06-07","16","35141.35"
"2025-06-08","6","24088.83"
"2025-06-09","9","24007.04"
"2025-06-10","12","25392.99"
"2025-06-11","10","19040.24"
"2025-06-12","19","49611.26"
"2025-06-13","16","34941.42"
"2025-06-14","10","13477.23"
"2025-06-15","10","17254.58"
"2025-06-16","16","44927.01"
"2025-06-17","13","23320.88"
"2025-06-18","9","20302.18"
"2025-06-19","12","41050.72"
"2025-06-20","15","37709.73"
"2025-06-21","10","23556.90"
"2025-06-22","18","46606.11"
"2025-06-23","15","34807.12"
"2025-06-24","18","50183.61"
"2025-06-25","12","22796.93"
"2025-06-26","11","21654.84"
"2025-06-27","23","53938.28"
"2025-06-28","13","40267.15"
"2025-06-29","18","44124.04"
"2025-06-30","22","51688.48"
"2025-07-01","11","20256.68"
"2025-07-02","12","31138.56"
"2025-07-03","17","37691.49"
"2025-07-04","16","38293.49"
"2025-07-05","14","38327.16"
"2025-07-06","8","12858.45"
"2025-07-07","11","28467.32"
"2025-07-08","12","40522.69"
"2025-07-09","14","29024.25"
"2025-07-10","14","44995.02"
"2025-07-11","14","36729.58"
"2025-07-12","11","25022.27"
"2025-07-13","9","18346.60"
"2025-07-14","17","36884.63"
"2025-07-15","17","45667.83"
"2025-07-16","20","58435.18"
"2025-07-17","15","36274.72"
"2025-07-18","17","39419.96"
"2025-07-19","12","24205.02"
"2025-07-20","15","58221.57"
"2025-07-21","12","31352.07"
"2025-07-22","16","36073.63"
"2025-07-23","15","34376.72"
"2025-07-24","8","17188.81"
"2025-07-25","20","45908.14"
"2025-07-26","9","21940.36"
"2025-07-27","14","45826.16"
"2025-07-28","10","24445.62"
"2025-07-29","12","29522.44"
"2025-07-30","9","19172.62"
"2025-07-31","11","23361.62"
"2025-08-01","10","22430.05"
"2025-08-02","17","47592.12"
"2025-08-03","7","15712.97"
"2025-08-04","12","26294.17"
"2025-08-05","20","36617.68"
